product_name,rent_price,url_photo,link,renters,description
Kintakun D'LUXE Selimut Hotel Polar Fleece Blanket Lembut 145 x 180 cm - Garnet,Rp99.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/24/c1358e05-d58f-407b-a998-9a96a91537ee.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HNHsrO6_edbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKfH_n7oiFiqfuNPfYagVY2gmUEHpjaH_yFHp176mFiy3zwrfo5rM1i6sUR6ZddHAHNosJRopyaHsedbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H7hk39P6zV1a_32s8jNE3_CoqB17_MB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-81hkZ92ouJjhZ3BRq3-W69ugHBu2_fBGqJYIz9xgQ12t3MjhqV2Iz_VHuV-k_uzsPJYIu_-6q_nF3uzmqu21uMBvzO1p3uPoq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc69PxZJ2typ-uq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkypuHqMPR_920HjO1ypo6qjBN_jzSq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-_83uF8SCe1fOZ_M2XP1Ka6I2GPVxk1SCXQZOEzVY_gMOS_jPxrAgqZI2vouxegR-6zuuuZReW1So69fBW_Sgwo9u5ufg_ujxZouja8APy3s-ZHBus8Soo3cYVzcDaH_yWeMuWQjB6_j-0qRVUzIVpZcBy3MBAZcYVoAVgHOoCuiUDUMVDgaUEUMW79RCtrMVpgZUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6sjDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUiFirI-2yfuwyMBjUstao_1FHI7?template_id_used=3&keyword_correction=thermal+blanket&click_ad_type=2&is_search=1&page=1&cpm_template_req=3&keywords=thermal+blanket&src=search&dv=desktop&t=desktop&product_id=10641016673&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fkintakun%2Fkintakun-d-luxe-selimut-hotel-polar-fleece-blanket-lembut-145-x-180-cm-garnet-67135,Kintakun Sprei Bedcover,"DLUXE Selimut Hotel Polar Fleece Blanket dengan ukuran 145x180 cm, selimut lembut, halus yang cocok untuk dibawa kemana saja. Diproses dengan teknik knitting yang membuat selimut lebih ringan, tebal, elastis, hangat dan juga membuat sirkulasi udara lebih baik, cocok dipakai di segala musim. Dilengkapi dengan jahitan pinggir tricot binding & anti piling yang membuat selimut tidak berbulu, awet, kuat dan tidak mudah rontok. Kemasan yang compact membuat selimut ini cocok untuk dibawa kemana saja atau mudah untuk disimpan. Serbaguna, bisa untuk penggunaan sehari-hari, baik di dalam atau di luar ruangan. Kelebihan : - Ukuran selimut dan kemasan yang compact, membuatnya mudah untuk disimpan atau dibawa bepergian. - Diproses dengan teknik knitting sehingga selimut lebih bersirkulasi, jadi lebih elastis, tebal tapi tetap ringan. - Dengan jahitan pinggiran tricot binding, membuat selimut lebih awet, kuat dan tidak rontok. - Anti pilling yarn, membuat selimut tidak mudah berbulu. - Motif polos, cocok digunakan di segala ruangan. Ukuran : 145 x 180 cm Instruksi Perawatan : - Cuci sebelum digunakan - Mesin cuci suhu dingin, putaran rendah - Jangan gunakan pemutih - Jangan keringkan dengan mesin - Jangan disetrika."
Kintakun Bantal Selimut Mini Selimut Travel Lembut Blanket Dluxe - Hexapink,Rp115.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/8/309a41f7-46de-4c3b-9780-8100588848da.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HNHsrO6_edbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKfH_n7oiFiqfuNPfYagVY2gmUEHpjaH_yFHp176mFiy3zwrfo5rM1i6sUR6ZddHAHNosJRopyaHsedbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H7hk39P6zV1a_32s8jNE3_CoqB17_MB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-81hkZ92ouJjhZ3BRq3-W69ugHBu2_fBGqJYIz9xgQ12t3MjhqV2Iz_VHuV-k_uzsPJYIu_-6q_nF3uzmqu21uMBvzO1p3uPoq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc69PxZJ2typ-uq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkypuHqMPR_920HjO1ypo6qjBN_jzSq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-_83uF8SCe1fOZ_M2XP1Ka6I2GPVxk1SCXQZOEzVY_gMOS_jPxrAgqZI2vouxegR-6zuuuZReW1So69fBW_Sgwo9u5ufg_ujxZouja8APy3s-ZHBus8Soo3cYVzcDaH_yWeMuWQjB6_j-0qRVUzIVpZcBy3MBAZcYVoAVgHOoCuiUDUMVDgaUEUMW79RCtrMVpgZUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6sjDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUiFirI-2yfuwyMBjUstao_1FHI7?dv=desktop&src=search&template_id_used=3&product_id=11493905766&uid=0&keywords=thermal+blanket&page=1&click_ad_type=2&t=desktop&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fkintakun%2Fkintakun-bantal-selimut-mini-selimut-travel-lembut-blanket-dluxe-hexapink-f9bcc&cpm_template_req=3&keyword_correction=thermal+blanket,Kintakun Sprei Bedcover,"Kintakun DLUXE bantal selimut mini quilting multifungsi 2 in1. Selimut lembut, empuk dan nyaman yang bisa dilipat jadi bantal. Terbuat dari 100% Microtex with Hi-Breath Technology yang membuatnya breathable & lebih sejuk di kulit. Dilengkapi karet lebar di bagian belakang sehingga bisa digunakan sebagai bantal leher mobil, bantal sandaran kepala (headrest), bantal selimut saat bepergian. Dengan isian fluffy dacron, sehingga empuk, dan nyaman digunakan. Dilengkapi dengan desain jahitan quilting yang membuat tampilannya lebih cantik. Warna tidak mudah luntur, meski dicuci berulang kali. Dilengkapi handle, travel friendly, mudah dibawa, mudah dilipat dan praktis.  Kelebihan : - Dilengkapi Teknologi Hi-Breath 3x lebih cepat menyerap keringat dan melepaskan kelembapan berlebih. Membuat kain lebih breathable sehingga lebih sejuk dan menjaga kulit tetap nyaman.  - Praktis & Multifungsi Dilengkapi karet lebar di bagian belakang sehingga bisa digunakan sebagai bantal leher mobil, bantal sandaran kepala (headrest), bantal selimut saat bepergian (nonton bioskop, saat mudik, atau hadiah). - Lembut & Empuk Isian bahan super fluffy dacron yang membuatnya empuk, dengan kain microtex yang lembut.  - Cocok untuk Traveling Mudah disimpan, mudah dilipat, praktis dilengkapi handle & karet di bagian belakang sehingga mudah dibawa kemana saja.  Bahan                         : 100% Microtex Disperse Isian                            :  4 0z Super Fluffy Dacron GSM/Thread Count    : 90/160 Instruksi Perawatan : - Cuci sebelum digunakan - Cuci dengan mesin dalam suhu normal dan kecepatan rendah  - Jangan gunakan pemutih - Dapat diproses dry cleaning - Setrika dengan suhu rendah."
Kintakun Selimut Lembut & Mewah Luxury 160x200cm Colorful - Merlot,Rp150.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/5/f54b06cb-af7c-47d0-b9ed-e1eaa21f5f01.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HNHsrO6_edbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKfH_n7oiFiqfuNPfYagVY2gmUEHpjaH_yFHp176mFiy3zwrfo5rM1i6sUR6ZddHAHNosJRopyaHsedbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H7hk39P6zV1a_32s8jNE3_CoqB17_MB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-81hkZ92ouJjhZ3BRq3-W69ugHBu2_fBGqJYIz9xgQ12t3MjhqV2Iz_VHuV-k_uzsPJYIu_-6q_nF3uzmqu21uMBvzO1p3uPoq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc69PxZJ2typ-uq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkypuHqMPR_920HjO1ypo6qjBN_jzSq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-_83uF8SCe1fOZ_M2XP1Ka6I2GPVxk1SCXQZOEzVY_gMOS_jPxrAgqZI2vouxegR-6zuuuZReW1So69fBW_Sgwo9u5ufg_ujxZouja8APy3s-ZHBus8Soo3cYVzcDaH_yWeMuWQjB6_j-0qRVUzIVpZcBy3MBAZcYVoAVgHOoCuiUDUMVDgaUEUMW79RCtrMVpgZUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-X9foxQMz2gcV7guYxgIHi6sjDUMVi9RzBrRei6i-6UiFiPMuarfB5QiUEUSyaUiFirI-2yfuwyMBjUstao_1FHI7?src=search&is_search=1&template_id_used=3&product_id=10323234668&dv=desktop&keywords=thermal+blanket&page=1&cpm_template_req=3&r=https%3A%2F%2Fwww.tokopedia.com%2Fkintakun%2Fkintakun-selimut-lembut-mewah-luxury-160x200cm-colorful-merlot-fc10d&click_ad_type=2&t=desktop&uid=0&keyword_correction=thermal+blanket,Kintakun Sprei Bedcover,"Selimut dari koleksi premium Kintakun telah menerima sertifikasi Oeko-Tex Standard 100, sehingga aman untuk digunakan bahkan untuk kulit sensitif sekalipun. Terbuat dari bahan flanel berkualitas tinggi dengan gramasi yang lebih tebal sehingga lebih lembut, nyaman, hangat, dan empuk serta cocok digunakan di segala musim. Dengan desain unik stripes yang memberikan sirkulasi udara lebih baik, Anda akan merasakan sensasi tidur yang lebih sejuk dan nyaman. Tidak peduli musimnya, selimut ini menjadi teman tidur ideal, baik saat tidur siang di kantor, bersantai di sofa, atau menikmati momen TV di malam hari. Tersedia berbagai warna elegan dengan desain stripes yang memberikan kesan mewah sehingga kamar Anda tampak semakin bergaya.   Kelebihan : - OEKO-TEX Standard Telah tersertifikasi OEKO-TEX Standard 100, sehingga aman untuk digunakan bahkan untuk kulit sensitif sekalipun.  - Tebal & Super Lembut Terbuat dari bahan flanel polyester yang diproses khusus, dengan gramasi lebih tebal, sehingga menciptakan kehangatan & kelembutan ekstra. - Sirkulasi Udara Lebih Baik Dilengkapi desain unik stripes yang membuat sirkulasi udara lebih baik, sehingga lebih breathable, sejuk dan nyaman.  - Cocok untuk Semua Musim Selimut Luxury ini akan membuat Anda nyaman saat tidur siang di kantor, berbaring di sofa, atau menonton TV di malam yang dingin. Cocok untuk musim dingin atau panas. - Perawatan Mudah  Dapat dicuci dengan mesin dan dikeringkan untuk menghemat waktu & tenaga Anda. Warna tidak mudah luntur meski dicuci berulang kali. Ukuran : 160 x 200 cm Tinggi : 1 cm Bahan : 100 % Flannel Polyester Instruksi Perawatan : - Cuci dengan mesin dalam suhu dan kecepatan rendah.  - Jangan gunakan pemutih.  - Jangan gunakan mesin pengering. - Jangan disetrika. - Proses pencucian bisa menggunakan mesin cuci yang bisa diprogram sepenuhnya dan deterjen khusus untuk membersihkan pakaian."
TURU Thermal & Travel Blanket ( Selimut Hangat ) - Thermo Guard,Rp145.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/e6208a65-0374-4279-af87-d4f5d331b79d.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUhoAefosyfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdosJFoAUDUMoFyaUEopnFbm-FQRo2PcB5QiUEHZFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Q6_K7bAjdoZFhHAnF9ZFiQBYsy3Njq3zxPcuwy3zpUstRomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUst76_1XHs17HsH7osjposeRHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9x61pzE_7zzHjO1u92vzVJa_uzu8jYJu3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_s-GQuBEz92o8ju73jzcqJN2HACoucxD_VzSHjOE39zoqMHa3jzs8jNJ_9xvuV20Z3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2u_C3ZVzuujY3zsBcucWjyjtp1MYq3J273uPRgOBW8cxiQ9zDgJojgcgU8IooQ9xfgAod6c-JzSoiHfedgjx6Hc-y8AxizJNM_uzCP7OU8AxuHVgUuVu3_Ogc6121qO-iZsoZQO2yZSzguRPS33Odqc-WPchjefzjgjxdrMHauMNMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJOJgRu6uJJO_92C81OEyRxozcD7_uoG6ZUDUMoDP9o7g9-wq3zwPsUi6syNopjDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJFHAnibmUhoAj7UiFiH_eNHaUDUsJ76_1ibmUaHAefUB7DUMPaQRuF9Ro7rMV7g3PNUs2QHZFa9ZFirI-2yfuwyMBjUstRHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosURbsUfHsnRHAHaH_nFHsHDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopUOH_1h6_KN6AUfHArO6I7?is_search=1&management_type=1&page=1&pub_unit=0&keywords=thermal+blanket&t=desktop&src=search&pub_id=0&pub_domain=0&dv=desktop&r_replacement=new&r=https%3A%2F%2Fwww.tokopedia.com%2Fturubed%2Fturu-thermal-travel-blanket-selimut-hangat-thermo-guard-blue-bell-120-x-140-07cce%3FextParam%3Divf%253Dfalse%26src%3Dtopads&ob=23,TURU Bed Official,"TURU Thermal & Travel Blanket ( Selimut Hangat ) - Thermo Guard 100% Recycled Thermal Fabric Warna : Blue Bell or Scallop Shell Tersedia 2 ukuran :  120 x 140 (cocok buat travel, office) 140 x 200 (cocok buat rumah) Teknologi Thermo Guard TURU menjadikan blanket ini pilihan yang sangat baik untuk memberikan kehangatan dan kenyamanan dalam setiap kondisi. Thermal Blanket TURU juga menggunakan bahan yang ramah lingkungan dan dari hasil daur ulang namun tetap mengedepankan kualitas, sehingga blanket ini sangatlah lembut bagi kulit. (2x lebih lembut dari selimut thermal biasa) Cara Perawatan: Dapat dicuci dengan menggunakan mesin cuci dan dengan air dingin. Disarankan cuci terlebih dahulu sebelum digunakan TURU, The Sleep Company."
XABA Sleeping Bag Liner - Amungme - Thermal Blanket - Big Size,Rp165.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/15/2f93a666-1f4a-44e9-aa68-66058da660ba.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsJfHprRHpKfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdosJFoAUDUMoFyaUEoAnFbm-FQRo2PcB5QiUEHiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosUDH_epHiFhoAj79ZFiQBYsy3Njq3zxPcuwy3zpUstRomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUst7HpjX6_1R6AKpoAH7HsHNHs1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_jH7H7Nkz_uozVJp_M2Vo1OJ1_o6qjB2_JoGqMzUZMgsHBgtyfO6Q7BkQfBoepe7_jzC8jOE39xo8BJF_BzoH7YJz_V-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32jqu2W_9xo8jOd_VPz8VB139z6zJ173BHFoJNk__-HuJjp_MOzH7OE192oucDa3jo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3h6zBUFH1g1QV-M1B1OZVPNgACxzOgNyBPcr7BIZSogupua3BxzQBxy8AxizJ2pysoj6cgIPRxizpjpgjxd8MzIH_xMzRPE3I2VHJY11sxMzjNc1snhzBzD1Mg_u_uVuRBjHcVIuSBiu7gpZ1PGrOB9o9-q3VVX3Vxd6cJp_MhqHRKd3_--q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OE39BHqMrO_7z-8jN1ypzo8jVR_92-HjBXHA7ibm-sQIupPcua9fBj9RyaUsthopepoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_nFHmUDUsJ76_eibmUhoAjpUiFiH_eNoZUDUsUFoAyi9ZFirI-2yfuwyMBjUst7HAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEo_Uabseho_1RoAJ7opnpH_jDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXo_HhoAnO6_ehoAr7HprRoS7?dv=desktop&page=1&is_search=1&keywords=thermal+blanket&pub_id=0&pub_domain=0&pub_unit=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fxaba%2Fxaba-sleeping-bag-liner-amungme-thermal-blanket-big-size%3FextParam%3Divf%253Dfalse%26src%3Dtopads&t=desktop&src=search&ob=23&management_type=1,XABA,"XABA Sleeping Bag Liner - Amungme Salah satu koleksi terbaru dari XABA, berfungsi untuk jadi inner sleeping bag (digunakan lapisan dalam sebelum memakai sleeping bag universal) dan bisa digunakan untuk pertolongan pertama pada penderita hipotermia, terbuat dari bahan polyester thermal sangat bermanfaat untuk menghangatkan tubuh pada saat digunakan di cuaca dingin (0 c), terdapat zipper sebelah kanan yg dapat dibuka dari atas s/d pinggang memudahkan saat pemakaian. Weight : 260 gram Size Body :  -Big Size : Panjang 200 cm (badan 160 cm & penutup kepala 40 cm ) x Lebar 85 cm Size Packable : 14 x 15 x 2 cm Material : Polyester Thermal, one layer include packable in hoodie -Thermal anta (motiv segitiga) sold -Thermal omny (motiv bintik bulat) ready Ayo segera miliki XABA SB Liner ini sekarang juga, sebelum kehabisan ! #sleepingbag #sbliner #liner #sleepingbagliner #sleepingbagthermal #thermal #omnyheat #hipotermia #firstaid #p3k #xabaproduct"
Dunlopillo Thermal & Travel Blanket / Deep Blue (Biru Tua) Limited,Rp149.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/16/498007d8-8146-429b-8318-95107dbc6d4c.png,https://www.tokopedia.com/dunlopillo/dunlopillo-thermal-travel-blanket-deep-blue-biru-tua-limited?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2225253,Sabana Timur,"Thermal Blanket / Thermal Bivvy / Sleeping Bag Liner Green Savannah seri Anambas. Merupakan layering untuk sleeping bag mu, jika SB mu dirasa masih belum memberikan kehangatan secara maksimal maka bisa di double oleh Thermal Blanket Anambas ini. Cara penggunaan cukup mudah, pakai SB mu, kemudian pakai Anambas ini dijamin mampu memberikan kehangatan extra. Anambas mampu memerangkap suhu tubuh sebesar 5-10°C karena menggunakan Thermal WP Coating. Jika kamu ingin tidur di luar tenda menggunakan hammock. Anambas ini mampu mencegah SB mu basah karena embun karena memiliki rating WP dengan PU 950mm, cukup aman jika dibandingkan curah rata-rata hujan Indonesia. Bisa digunakan sebagai pertolongan pertama saat gejala awal hipotermia. Dapat digunakan berkali dan tidak mudah sobek jika dibandingkan thermal blanket sekali pakai yang lembaran. Spek. Anambas Thermal Blanket : Size 200x70 cm Packing Size 8x8x23 cm Single layer Waterproof non seal Rating WP PU 950 mm Thermal Type Coating TRAPS BODY HEAT OF 5-10°C Weight 185 gr Ultralight"
Dunlopillo Thermal Blanket 150x200 Gray Color (selimut abu abu),Rp149.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/5/28/9b30f69b-b6a0-4cab-a9d4-a6f105f7ad4d.jpg,https://www.tokopedia.com/dunlopillo/dunlopillo-thermal-blanket-150x200-gray-color-selimut-abu-abu?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2225253,Sabana Timur,"Sleeping Bag Nano Fiber Green Savannah Camp Warmer 2.1 Camp Warmer menggunakan insulasi nanofiber sebesar 0.006mm menyerupai bulu angsa. Sehingga tidak menggunakan ukuran ""OZ"", tetapi ""fillweight"" karena secara kasat mata serupa dengan buluangsa. Specs. Camp Warmer 2.1: Size 195*80*50 [big size] Fw 500 Insulasi nano fiber 0.006mm Weight ±800 gram  YKK ZIPPER  Packing SB press Comfort 20 - 5°C Limit Temperature 0°C Inner Thermal by Cold Gear Infra Red [UNDER ARMOUR] Type bukaan kaki Weight 980gr (include packing) Green Savannah brand PERTAMA yang memberikan service SEPANJANG PEMAKAIAN jika: 1. Jahitan lepas. 2. Robek. 3. Ingin menambah isian nanofiber. Syarat service : 1. Simpan no.Invoice (utk pembelian Online) atau struk belanja (pembelian Offline) di toko-toko yang menjadi authorized partner. 2. Seluruh ongkir + biaya perbaikan / upgrade ditanggung sepenuhnya oleh konsumen. Green Savannah hanya melayani after sales berupa service perbaikan / upgrade (bukan penggantian unit baru). 3. Sertakan invoice (utk OL berupa screenshot/foto) atau struk (utk Offline) dalam pengiriman perbaikan/upgrade. 4. Barang yang kamu kirim akan masuk antrian perbaikan setelah sampai di workshop Green Savannah. 5. Besaran biaya tergantung service yang kamu ajukan untuk perbaikan / upgrade. 6. TIDAK MENERIMA SERVICE selain produk kami."
Dunlopillo Thermal & Travel Blanket Green Army ( Selimut hangat ),Rp139.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/23/795438a4-7603-45bf-b365-6ec3e2c3317b.png,https://www.tokopedia.com/dunlopillo/dunlopillo-thermal-travel-blanket-green-army-selimut-hangat?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2225253,Sabana Timur,"greensavannah - seri Morotai Plus Design mengikuti lekuk tubuh, untuk memberi kehangatan extra. Memakai insulasi buluangsa plus tambahan insulasi fillow. Menjadikan Morotai, memiliki spek mumpuni di kelas ultralight. Rataan berat 300gram (tergantung outer yang digunakan 20D/30D) Spek: Dimensi (pxlxt) 200x80 x50 cm Inner Kathmandu Outer Nylon 20D/30D (tergantung stock) FW 300 FP 700 Comfort 5-20°C EXTREME 0°C Weigth 300gr Berat packing kami setel di 650gr free buble wrap dan kardus - selama persediaan ada. (Min.salah satu item pelindung packing terpenuhi) Green Savannah brand PERTAMA yang memberikan service SEPANJANG PEMAKAIAN jika: 1. Jahitan lepas. 2. Robek. 3. Ingin menambah isian bulang. Syarat service : 1. Simpan no.Invoice (utk pembelian Online) atau struk belanja (pembelian Offline) di toko-toko yang menjadi authorized partner. 2. Seluruh ongkir + biaya perbaikan / upgrade ditanggung sepenuhnya oleh konsumen. Green Savannah hanya melayani after sales berupa service perbaikan / upgrade (bukan penggantian unit baru). 3. Sertakan invoice (utk OL berupa screenshot/foto) atau struk (utk Offline) dalam pengiriman perbaikan/upgrade. 4. Barang yang kamu kirim akan masuk antrian perbaikan setelah sampai di workshop Green Savannah. 5. Besaran biaya tergantung service yang kamu ajukan untuk perbaikan / upgrade. 6. TIDAK MENERIMA SERVICE selain produk kami."
Selimut Darurat / Emergency Thermal Blanket Aluminium Foil,Rp5.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/19/23dc1ee0-afa6-4943-911e-7ef7074c2eeb.jpg,https://www.tokopedia.com/alfgear/selimut-darurat-emergency-thermal-blanket-aluminium-foil?extParam=ivf%3Dfalse%26src%3Dsearch,Clevamama,"Clevamama - Luxe Sherpa Baby Blanket Blue - Selimut Bayi Selimut Bayi Luxe Sherpa kami terbuat dari rajutan yang nyaman dan  lapisan sherpa yang lembut dan mewah di sisi lainnya. Ideal untuk di luar ruangan, hari yang lebih dingin dan pelukan yang nyaman. ● Tersedia dalam 3 warna : Merah Muda, Biru & Abu - Abu. ● Dapat digunakan dari newborn ● OEKO-TEX certified free of harmful chemicals ● Dimensions 75 x 100 cm"
AONIJIE A107 Emergency Thermal Blanket - Lari Marathon Trail Trekking,Rp42.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/28/33716f73-9d56-4f29-b6b3-835359da4f5a.png,https://www.tokopedia.com/aonijie/aonijie-a107-emergency-thermal-blanket-lari-marathon-trail-trekking?extParam=ivf%3Dfalse%26src%3Dsearch,Sprei Nyenyak Official,"Details: 50% Scuba / 50% Softboa Each set includes: blanket only Size: 100 cm x 150 cm Washing Instructions: Machine Wash, Cold Do Not Bleach  Do Not Tumble Dry Do Not Iron *non-printed fabric Made in Indonesia Salam Nyenyak, Happy Shopping Follow Toko Kami Sprei Nyenyak Official"
King Rabbit Thermal Blanket,Rp99.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/13/2d1584b9-3a6b-4ca8-81dd-44d20e496185.jpg,https://www.tokopedia.com/bedcover-bedding/king-rabbit-thermal-blanket?extParam=ivf%3Dfalse%26src%3Dsearch,Cudeta,Selimut Cudeta menggunakan bahan kualitas premium sehingga halus dan nyaman ketika bersentuhan langsung dengan kulit bayi. Dengan ilustrasi yang dikerjakan langsung oleh tim kami membuat selimut ini cocok sebagai kado yang unik. Cara pemesanan: 1. Pilih desain yang diinginkan 2. Tulis nama anak pada kotak keterangan pada saat checkout (Custom nama tidak ada maksimal huruf) 3. Melakukan pembayaran 4. Tim kami akan segera mengirimkan preview desain melalui chat untuk konfirmasi sebelum naik cetak Material: Depan - printed yelvo | Belakang - yelvo Ukuran: 75x95 cm 100x150 cm Semua tinta dan bahan yang digunakan pada saat proses cetak aman untuk bayi. ▪️ Disarankan untuk menggunakan gentle cycle jika ingin menggunakan mesin cuci ▪️ Jangan dimasukkan ke dalam pengering pakaian ▪️ Jangan disetrika
